Object,Filter,MJD,Flux,Error
Mrk142,W1,58524.709,5.026,0.147
Mrk142,W1,58525.44,5.287,0.15
Mrk142,W1,58525.639,5.484,0.151
Mrk142,W1,58527.366,5.37,0.148
Mrk142,W1,58527.698,5.815,0.155
Mrk142,W1,58528.177,5.368,0.166
Mrk142,W1,58528.829,5.518,0.161
Mrk142,W1,58529.966,5.315,0.165
Mrk142,W1,58530.753,4.868,0.138
Mrk142,W1,58531.49,4.938,0.128
Mrk142,W1,58531.748,5.223,0.148
Mrk142,W1,58532.749,5.223,0.158
Mrk142,W1,58533.017,4.828,0.137
Mrk142,W1,58533.878,5.093,0.207
Mrk142,W1,58534.081,4.809,0.2
Mrk142,W1,58534.344,4.991,0.197
Mrk142,W1,58535.201,4.795,0.142
Mrk142,W1,58535.736,4.805,0.137
Mrk142,W1,58536.263,4.745,0.141
Mrk142,W1,58536.737,4.748,0.141
Mrk142,W1,58538.189,4.577,0.152
Mrk142,W1,58538.652,4.534,0.134
Mrk142,W1,58539.183,4.979,0.14
Mrk142,W1,58539.715,4.746,0.137
Mrk142,W1,58540.179,4.635,0.148
Mrk142,W1,58541.64,4.392,0.13
Mrk142,W1,58542.236,4.04,0.137
Mrk142,W1,58542.702,4.491,0.132
Mrk142,W1,58543.3,4.45,0.134
Mrk142,W1,58543.965,4.398,0.137
Mrk142,W1,58544.04,4.534,0.136
Mrk142,W1,58544.894,4.528,0.137
Mrk142,W1,58545.298,4.627,0.143
Mrk142,W1,58546.154,4.625,0.142
Mrk142,W1,58546.684,4.258,0.129
Mrk142,W1,58547.15,4.303,0.131
Mrk142,W1,58547.948,4.302,0.134
Mrk142,W1,58548.942,4.073,0.131
Mrk142,W1,58549.144,4.279,0.133
Mrk142,W1,58550.137,4.117,0.138
Mrk142,W1,58550.601,4.404,0.129
Mrk142,W1,58551.663,4.305,0.132
Mrk142,W1,58552.137,4.271,0.133
Mrk142,W1,58552.594,4.376,0.14
Mrk142,W1,58553.132,4.266,0.13
Mrk142,W1,58553.596,4.094,0.123
Mrk142,W1,58554.125,4.299,0.133
Mrk142,W1,58554.589,4.039,0.122
Mrk142,W1,58555.124,4.465,0.137
Mrk142,W1,58555.653,4.215,0.123
Mrk142,W1,58556.454,4.04,0.124
Mrk142,W1,58556.713,4.059,0.132
Mrk142,W1,58558.044,4.384,0.141
Mrk142,W1,58558.915,4.739,0.147
Mrk142,W1,58559.173,4.694,0.144
Mrk142,W1,58559.775,4.75,0.134
Mrk142,W1,58560.305,4.245,0.126
Mrk142,W1,58560.837,4.906,0.137
Mrk142,W1,58561.301,4.855,0.142
Mrk142,W1,58563.89,5.064,0.151
Mrk142,W1,58564.746,5.026,0.156
Mrk142,W1,58565.348,4.625,0.132
Mrk142,W1,58566.881,4.862,0.147
Mrk142,W1,58567.809,4.44,0.134
Mrk142,W1,58569.4,4.306,0.127
Mrk142,W1,58571.19,4.149,0.135
Mrk142,W1,58573.516,3.918,0.13
Mrk142,W1,58574.447,4.209,0.139
Mrk142,W1,58575.449,4.045,0.13
Mrk142,W1,58576.242,4.057,0.13
Mrk142,W1,58577.369,4.307,0.128
Mrk142,W1,58578.5,4.034,0.129
Mrk142,W1,58580.226,4.204,0.139
Mrk142,W1,58584.541,4.493,0.138
Mrk142,W1,58585.337,4.846,0.142
Mrk142,W1,58587.529,4.444,0.132
Mrk142,W1,58588.591,3.99,0.129
Mrk142,W1,58589.796,3.975,0.136
Mrk142,W1,58590.92,4.34,0.137
Mrk142,W1,58591.112,4.169,0.129
Mrk142,W1,58593.309,4.143,0.128
Mrk142,W1,58594.034,4.148,0.152
Mrk142,W1,58595.294,4.239,0.129
Mrk142,W1,58596.492,4.71,0.134
Mrk142,W1,58597.352,4.914,0.141
Mrk142,W1,58602.473,4.505,0.131
Mrk142,W1,58603.94,4.566,0.308
Mrk142,U,58484.346,3.153,0.104
Mrk142,U,58484.813,2.957,0.101
Mrk142,U,58485.137,2.958,0.092
Mrk142,U,58485.932,2.85,0.099
Mrk142,U,58486.063,2.84,0.091
Mrk142,U,58488.191,2.858,0.09
Mrk142,U,58488.791,2.87,0.092
Mrk142,U,58489.777,2.838,0.094
Mrk142,U,58490.713,3.222,0.1
Mrk142,U,58491.041,2.918,0.094
Mrk142,U,58491.638,2.862,0.092
Mrk142,U,58492.037,2.878,0.092
Mrk142,U,58492.631,2.791,0.093
Mrk142,U,58493.229,2.668,0.092
Mrk142,U,58493.971,2.923,0.094
Mrk142,U,58494.291,2.739,0.094
Mrk142,U,58494.822,2.811,0.09
Mrk142,U,58495.027,2.883,0.091
Mrk142,U,58496.216,2.717,0.097
Mrk142,U,58496.815,3.035,0.095
Mrk142,U,58497.81,3.1,0.095
Mrk142,U,58498.872,3.018,0.094
Mrk142,U,58499.867,2.846,0.09
Mrk142,U,58500.673,3.12,0.093
Mrk142,U,58501.062,2.984,0.095
Mrk142,U,58501.666,3.135,0.095
Mrk142,U,58502.059,3.199,0.099
Mrk142,U,58503.054,3.019,0.097
Mrk142,U,58503.785,2.917,0.096
Mrk142,U,58504.249,3.001,0.094
Mrk142,U,58505.187,3.13,0.097
Mrk142,U,58505.909,3.006,0.094
Mrk142,U,58506.307,3.132,0.096
Mrk142,U,58507.835,3.08,0.098
Mrk142,U,58508.238,2.972,0.105
Mrk142,U,58508.841,3.181,0.099
Mrk142,U,58509.233,3.324,0.101
Mrk142,U,58509.775,3.369,0.103
Mrk142,U,58510.833,3.31,0.1
Mrk142,U,58511.223,3.41,0.104
Mrk142,U,58511.764,3.527,0.108
Mrk142,U,58512.422,3.598,0.107
Mrk142,U,58512.891,3.56,0.105
Mrk142,U,58513.026,3.512,0.105
Mrk142,U,58513.748,3.321,0.098
Mrk142,U,58514.342,3.59,0.108
Mrk142,U,58514.674,3.416,0.108
Mrk142,U,58516.335,3.083,0.095
Mrk142,U,58516.877,3.3,0.099
Mrk142,U,58518.33,3.337,0.1
Mrk142,U,58518.803,3.262,0.1
Mrk142,U,58519.391,3.181,0.094
Mrk142,U,58519.857,3.503,0.107
Mrk142,U,58520.388,3.228,0.095
Mrk142,U,58520.855,3.558,0.105
Mrk142,U,58521.39,3.515,0.102
Mrk142,U,58521.786,3.359,0.102
Mrk142,U,58522.385,3.344,0.097
Mrk142,U,58523.382,3.388,0.097
Mrk142,U,58523.714,3.322,0.101
Mrk142,U,58524.378,3.297,0.097
Mrk142,U,58524.71,3.535,0.106
Mrk142,U,58525.442,3.709,0.108
Mrk142,U,58525.64,3.398,0.101
Mrk142,U,58527.368,3.572,0.103
Mrk142,U,58527.7,3.754,0.106
Mrk142,U,58528.178,3.754,0.119
Mrk142,U,58528.83,3.668,0.112
Mrk142,U,58529.967,3.659,0.117
Mrk142,U,58530.754,3.498,0.1
Mrk142,U,58531.492,3.454,0.092
Mrk142,U,58531.75,3.373,0.101
Mrk142,U,58532.75,3.7,0.114
Mrk142,U,58533.018,3.274,0.097
Mrk142,U,58534.082,3.333,0.142
Mrk142,U,58534.344,3.327,0.137
Mrk142,U,58535.203,3.591,0.107
Mrk142,U,58535.737,3.432,0.1
Mrk142,U,58536.264,3.445,0.103
Mrk142,U,58536.738,3.354,0.102
Mrk142,U,58537.194,3.332,0.101
Mrk142,U,58537.659,3.412,0.101
Mrk142,U,58538.19,3.327,0.111
Mrk142,U,58538.654,3.103,0.094
Mrk142,U,58539.716,3.241,0.097
Mrk142,U,58540.181,3.345,0.108
Mrk142,U,58541.12,3.093,0.097
Mrk142,U,58541.642,3,0.092
Mrk142,U,58542.237,3.102,0.103
Mrk142,U,58542.703,3.262,0.097
Mrk142,U,58543.301,3.053,0.095
Mrk142,U,58543.967,3.122,0.099
Mrk142,U,58544.042,2.943,0.093
Mrk142,U,58544.896,3.11,0.097
Mrk142,U,58545.299,3.085,0.099
Mrk142,U,58546.155,3.022,0.098
Mrk142,U,58547.151,3.12,0.096
Mrk142,U,58547.95,2.994,0.096
Mrk142,U,58548.944,2.867,0.094
Mrk142,U,58549.145,2.982,0.096
Mrk142,U,58549.674,2.925,0.089
Mrk142,U,58550.139,3.034,0.102
Mrk142,U,58550.603,2.896,0.089
Mrk142,U,58551.665,3,0.094
Mrk142,U,58552.138,2.893,0.094
Mrk142,U,58552.595,3.067,0.101
Mrk142,U,58553.133,2.879,0.091
Mrk142,U,58554.126,2.964,0.095
Mrk142,U,58554.59,3,0.091
Mrk142,U,58555.125,2.78,0.091
Mrk142,U,58555.655,3.066,0.09
Mrk142,U,58556.456,2.834,0.088
Mrk142,U,58556.715,2.598,0.089
Mrk142,U,58558.045,3.226,0.104
Mrk142,U,58558.916,3.159,0.103
Mrk142,U,58559.174,3.132,0.1
Mrk142,U,58560.306,2.913,0.089
Mrk142,U,58560.838,3.303,0.096
Mrk142,U,58561.303,3.192,0.099
Mrk142,U,58563.891,3.316,0.104
Mrk142,U,58564.747,3.498,0.112
Mrk142,U,58565.349,3.35,0.097
Mrk142,U,58566.882,3.22,0.102
Mrk142,U,58567.811,3.02,0.095
Mrk142,U,58568.597,3.201,0.105
Mrk142,U,58569.402,3.08,0.092
Mrk142,U,58570.665,3.147,0.1
Mrk142,U,58571.191,2.869,0.093
Mrk142,U,58573.517,2.749,0.093
Mrk142,U,58574.448,3.198,0.104
Mrk142,U,58575.451,3.041,0.097
Mrk142,U,58576.243,3.012,0.096
Mrk142,U,58577.371,2.909,0.09
Mrk142,U,58578.501,2.934,0.095
Mrk142,U,58579.364,2.951,0.098
Mrk142,U,58580.228,2.819,0.097
Mrk142,U,58582.628,3.033,0.094
Mrk142,U,58583.413,2.975,0.091
Mrk142,U,58584.543,3.187,0.099
Mrk142,U,58585.339,3.217,0.098
Mrk142,U,58586.601,3.396,0.1
Mrk142,U,58587.53,2.832,0.089
Mrk142,U,58588.592,2.938,0.095
Mrk142,U,58589.797,2.871,0.099
Mrk142,U,58590.921,3.073,0.098
Mrk142,U,58591.114,3.107,0.096
Mrk142,U,58592.509,2.851,0.094
Mrk142,U,58593.31,2.889,0.091
Mrk142,U,58594.035,3.144,0.114
Mrk142,U,58595.296,3.05,0.094
Mrk142,U,58596.494,3.29,0.096
Mrk142,U,58597.353,3.193,0.098
Mrk142,U,58602.475,3.114,0.093
Mrk142,U,58603.941,3.632,0.238
Mrk142,u,58422.447,3.27,0.15
Mrk142,u,58424.458,3.033,0.113
Mrk142,u,58425.434,3.09,0.126
Mrk142,u,58427.439,3.084,0.13
Mrk142,u,58429.427,3.001,0.109
Mrk142,u,58430.434,2.882,0.108
Mrk142,u,58431.412,2.954,0.117
Mrk142,u,58433.448,2.676,0.101
Mrk142,u,58435.413,2.698,0.118
Mrk142,u,58436.407,2.658,0.119
Mrk142,u,58438.394,2.733,0.112
Mrk142,u,58439.39,2.866,0.12
Mrk142,u,58441.389,2.851,0.136
Mrk142,u,58449.406,3.038,0.129
Mrk142,u,58450.417,3.076,0.12
Mrk142,u,58451.367,2.723,0.12
Mrk142,u,58455.392,2.856,0.181
Mrk142,u,58456.398,3.079,0.129
Mrk142,u,58466.365,2.839,0.111
Mrk142,u,58467.318,2.901,0.03
Mrk142,u,58471.333,2.746,0.139
Mrk142,u,58472.36,2.708,0.136
Mrk142,u,58473.339,2.985,0.153
Mrk142,u,58473.514,2.778,0.03
Mrk142,u,58475.326,2.9,0.168
Mrk142,u,58475.355,2.857,0.083
Mrk142,u,58476.336,2.773,0.143
Mrk142,u,58476.396,2.879,0.068
Mrk142,u,58477.294,2.81,0.145
Mrk142,u,58477.339,2.763,0.048
Mrk142,u,58478.348,2.817,0.066
Mrk142,u,58480.338,2.911,0.032
Mrk142,u,58483.461,2.825,0.075
Mrk142,u,58486.014,2.842,0.047
Mrk142,u,58486.456,2.877,0.072
Mrk142,u,58487.001,2.815,0.047
Mrk142,u,58487.264,2.781,0.032
Mrk142,u,58487.626,2.814,0.071
Mrk142,u,58488.079,2.873,0.044
Mrk142,u,58488.509,2.881,0.027
Mrk142,u,58488.557,2.931,0.076
