Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,U,4035,57585.3723,74.77008003,1.0626428,0.022993615
NGC4593,B,4035,57585.37322,74.78113997,1.0771717,0.022449602
NGC4593,HX,4035,57585.37437,912.6580608,0.500499,0.042502
NGC4593,SX,4035,57585.37437,912.6580608,0.658461,0.048719
NGC4593,W2,4035,57585.37547,301.77246,1.13617374,0.02106258
NGC4593,V,4035,57585.37771,74.77008003,1.29234426,0.030920697
NGC4593,M2,4035,57585.37941,208.67666,1.1471329,0.027757743
NGC4593,HX,4036,57585.44103,912.6580608,0.43975,0.030561
NGC4593,SX,4036,57585.44103,912.6580608,0.522601,0.033373
NGC4593,W2,4036,57585.44212,301.77246,1.1388839,0.021075666
NGC4593,M2,4036,57585.44606,211.21424,1.2492534,0.02907733
NGC4593,W1,4037,57585.50427,150.76486,1.2509805,0.025667502
NGC4593,U,4037,57585.50563,74.7701,1.06369195,0.022923602
NGC4593,B,4037,57585.50655,74.74805999,1.1264738,0.023042637
NGC4593,HX,4037,57585.5077,912.6580608,0.493053,0.051286
NGC4593,SX,4037,57585.5077,912.6580608,0.692931,0.060706
NGC4593,W2,4037,57585.50881,301.78348,1.1373483,0.02107332
NGC4593,V,4037,57585.51104,74.77012002,1.2972715,0.031000522
NGC4593,M2,4037,57585.51273,209.8572,1.1685142,0.027996048
NGC4593,W1,4038,57585.57025,150.76486,1.2781069,0.026041784
NGC4593,U,4038,57585.5716,74.7701,1.0832353,0.023266656
NGC4593,B,4038,57585.57252,74.78113997,1.0981942,0.022687478
NGC4593,HX,4038,57585.57367,912.6580608,0.588189,0.040612
NGC4593,SX,4038,57585.57367,912.6580608,0.745998,0.045783
NGC4593,W2,4038,57585.57477,301.77244,1.1821977,0.02160112
NGC4593,V,4038,57585.577,74.77010006,1.3164565,0.03131023
NGC4593,M2,4038,57585.5787,210.73982,1.1374452,0.027478577
NGC4593,W1,4039,57585.6485,162.76868,1.2719923,0.025066786
NGC4593,U,4039,57585.64996,80.77200001,1.0663256,0.022062756
NGC4593,B,4039,57585.65095,80.76098001,1.118744,0.02197052
NGC4593,HX,4039,57585.65232,997.9060032,0.568883,0.042493
NGC4593,SX,4039,57585.65232,997.9060032,0.637072,0.045188
NGC4593,W2,4039,57585.65337,325.76906,1.195188,0.021141625
